display_name,account_name,url
Tucker Carlson,@TuckerCarlson,https://twitter.com/TuckerCarlson
Michael Moore,@MMFlint,https://twitter.com/MMFlint
Nina Turner,@ninaturner,https://twitter.com/ninaturner
Sarah Silverman,@SarahKSilverman,https://twitter.com/SarahKSilverman
Candace Owens,@RealCandaceO,https://twitter.com/RealCandaceO
Barack Obama,@BarackObama,https://twitter.com/BarackObama
Kayleigh McEnany,@kayleighmcenany,https://twitter.com/kayleighmcenany
Kamala Harris,@KamalaHarris,https://twitter.com/KamalaHarris
Lindsey Graham ,@LindseyGrahamSC,https://twitter.com/LindseyGrahamSC
Ilhan Omar,@IlhanMN,https://twitter.com/IlhanMN
Charlie Kirk,@charliekirk11,https://twitter.com/charliekirk11
Sarah Huckabee Sanders,@SarahHuckabee,https://twitter.com/SarahHuckabee
Official Rush Limbaugh,@OfficialRushUSA,https://twitter.com/OfficialRushUSA
Bernie Sanders,@BernieSanders,https://twitter.com/BernieSanders
Elizabeth Warren,@SenWarren,https://twitter.com/SenWarren
LeBron James,@KingJames,https://twitter.com/KingJames
Michelle Obama,@MichelleObama,https://twitter.com/MichelleObama
Danny DeVito,@DannyDeVito,https://twitter.com/DannyDeVito
Lady Gaga,@ladygaga,https://twitter.com/ladygaga
Sean Hannity,@seanhannity,https://twitter.com/seanhannity
Mark Ruffalo,@MarkRuffalo,https://twitter.com/MarkRuffalo
Alexandria Ocasio-Cortez,@AOC,https://twitter.com/AOC
John Legend,@johnlegend,https://twitter.com/johnlegend
