source_id,relation,target_id
u30364057,following,u892219807
u4765364386,following,u19188848
u29458079,following,u52136185
u205392468,following,u15324851
u881615056437297152,following,u27493883
u245424983,following,u3107986683
u784890784273215488,following,u1051396218
u783792992,following,u16950628
u722528529716383744,following,u757862089
u34713362,following,u14167059
u11178672,following,u223970563
u7426632,following,u34793128
u2427885031,followers,u1280585659699224576
u16076032,following,u21982720
u133880286,following,u794651044450041856
u16076032,following,u538021652
u15458694,following,u17469289
u1243560408025198593,following,u27386099
u26703365,following,u51241574
u18831926,following,u2640729706
u71294756,following,u16045956
u19539716,following,u216065430
u26792275,following,u2155641480
u228474571,following,u45511031
u18831926,following,u16931273
u4765364386,following,u2977083957
u15143478,following,u21611239
u250188760,following,u3817401
u818282957618216960,following,u164004136
u1243560408025198593,following,u17376893
u2427885031,following,u2834511
u2545759886,following,u593289567
u3187616987,following,u421667035
u931681289614385158,following,u20118767
u19682187,following,u308794407
u30354991,following,u19471123
u961231092,following,u43412697
u377766775,following,u1034469513385963521
u14772775,following,u327862439
u11347122,following,u16714443
u15675138,following,u108710418
u30354991,following,u28221296
u16076032,following,u2670726740
u15675138,following,u800707492346925056
u970716252179136514,following,u1058520120
u15675138,following,u2964174789
u14834340,following,u16625082
u28657802,following,u15837659
u1055907624,following,u1080584229510172678
u1044241,following,u48882164
u245424983,following,u255812611
u71294756,following,u14135350
u71294756,following,u15441965
u2591320394,following,u16334139
u14834340,following,u80617430
u18686907,following,u14989516
u43300047,followers,u21293089
u30354991,following,u18993395
u158414847,following,u14515799
u17004618,followers,u12245632
u783792992,following,u942156122
u357606935,following,u22162854
u158414847,following,u1020058453
u1081222837459996672,following,u15012486
u820354372827758592,following,u243236419
u16076032,following,u14275129
u783792992,following,u22669526
u17866318,following,u315331161
u4763858353,following,u466519303
u2884771,following,u89820928
u755835576,following,u29480700
u71294756,following,u47436923
u4303298356,following,u45013575
u18686907,following,u47156708
u369788077,following,u3039781324
u43300047,following,u2434051392
u15675138,following,u996094929733652481
u133880286,following,u878789583273578500
u92614042,following,u1536459457
u17866318,following,u11178672
u1243560408025198593,following,u227837742
u521747968,following,u3316537828
u73238146,following,u49698134
u34713362,following,u21982720
u626131422,following,u143104075
u783792992,following,u836101002
u755835576,following,u18120497
u30364057,following,u15327996
u931681289614385158,following,u22055226
u1394399438,following,u155705264
u48511236,following,u1205226529455632385
u17264476,following,u2979242392
u387900968,following,u47448886
u130496027,following,u225265639
u17004618,following,u139823781
u228474571,following,u780206406024691712
u56413858,following,u9648652
u521747968,following,u540973577
u34713362,following,u564111558
u722528529716383744,following,u20641934
u886749256807100416,following,u6527972
u2427885031,following,u49702592
u16076032,following,u88749392
u15862891,following,u17297668
u970716252179136514,following,u1531521632
u43300047,following,u5741722
u369788077,following,u66636747
u18949452,following,u624413
u881615056437297152,following,u34792486
u818282957618216960,following,u183767243
u208155240,following,u16311797
u21114659,following,u450941680
u229125893,following,u84653850
u55334133,following,u16560657
u30364057,following,u19682187
u183749519,following,u1398479138
u357606935,following,u223166587
u158414847,following,u1143519079527067648
u4765364386,following,u858466264875900929
u2591320394,following,u30364057
u250188760,following,u1339835893
u2591320394,following,u108338444
u30364057,following,u1205226529455632385
u18831926,following,u993137216309383169
u521747968,following,u19146492
u784890784273215488,following,u16606569
u1243560408025198593,following,u21733692
u592730371,following,u168470806
u158414847,following,u759251
u15764644,following,u31611298
u592730371,following,u50595242
u2922928743,following,u182398325
u970716252179136514,following,u15335534
u755835576,following,u2334732225
u1299686030875004928,following,u133880286
u26703365,followers,u981960751777767424
u73238146,following,u17220934
u2591320394,following,u397478799
u784890784273215488,following,u255812611
u43300047,following,u14384907
u459767319,following,u19785310
u21862217,following,u3344423229
u39416218,following,u189305014
u14834340,following,u7794142
u15675138,following,u1079104563280527364
u24291371,following,u1330457336
u177564016,following,u3267456386
u931681289614385158,following,u3267456386
u15458694,following,u90077282
u15675138,following,u21522338
u26703365,following,u102179167
u177564016,following,u4429709805
u16076032,following,u2327592480
u208155240,following,u14989516
u26703365,following,u29465136
u15764644,following,u22669526
u17264476,following,u14642495
u245424983,following,u50669520
u14293310,following,u67358777
u43300047,following,u435331179
u2922928743,following,u200846651
u14834340,following,u571297251
u970716252179136514,following,u88784440
u722528529716383744,following,u29658469
u16012783,following,u759251
u14293310,following,u14348594
u130496027,following,u22771961
u34868965,following,u30378270
u16012783,following,u835309132509024260
u722528529716383744,following,u1173978070535024642
u592730371,following,u164070785
u377766775,followers,u886398296146706432
u30378270,following,u1094762324097822720
u130496027,following,u1205226529455632385
u11347122,following,u138203134
u369788077,following,u21765161
u30364057,following,u22771961
u2922928743,following,u366943003
u18103148,following,u92372285
u1299686030875004928,following,u19811190
u7426632,followers,u1072638936672014341
u17004618,following,u52379394
u592730371,following,u931286316
u158414847,following,u38936142
u20562637,following,u3108351
u4765364386,following,u3565248672
u16012783,followers,u1319773183646568448
u158414847,following,u11134252
u4303298356,following,u150151712
u1081222837459996672,following,u807095
u592730371,following,u983108315466162178
u245424983,following,u2674458072
u18686907,following,u1000503711330791424
u250188760,following,u970207298
u108977933,following,u47747074
u1243560408025198593,following,u2966770391
u18831926,following,u2853309155
u14642495,following,u35586563
u21862217,following,u283258239
u20479813,following,u89887215
u250188760,following,u109287731
u150151712,following,u116363549
u26703365,following,u9300262
u29458079,following,u1212806053907185664
u208155240,following,u210926192
u15675138,following,u201753473
u755835576,following,u822591807821381635
u20402945,following,u377949581
u1243560408025198593,following,u1078457644736827392
u208155240,following,u234374703
u369788077,following,u12811952
u21862217,following,u14602051
u34713362,following,u59157393
u1055907624,following,u970563998
u2427885031,following,u10069612
u4303298356,following,u98992586
u144090338,following,u4874513699
u17004618,following,u192970470
u229125893,following,u1266209922
u56413858,following,u17525171
u21862217,following,u3622368202
u19682187,following,u1034469513385963521
u71294756,following,u234374703
u208155240,following,u278145569
u14834340,following,u14268812
u21862217,following,u1733467884
u592730371,following,u17349381
u1299686030875004928,following,u216299334
u102594136,following,u263473924
u2591320394,following,u16451101
u48511236,following,u743836563302420480
u16012783,following,u14338406
u25203361,following,u2329492448
u63614947,following,u30354991
u26703365,following,u18622869
u567192377,following,u939091
u245424983,following,u40145940
u55334133,following,u22677427
u14647570,following,u14606079
u208155240,following,u2962813893
u216881337,following,u43930301
u43300047,following,u14981648
u762024240,following,u1092037021432897537
u783792992,following,u800704496246484992
u20402945,following,u16581604
u784890784273215488,following,u1323730225067339784
u818282957618216960,following,u816201896
u55334133,following,u305818748
u755835576,following,u17008726
u521747968,following,u92116069
u7426632,following,u310892700
u39416218,following,u532779460
u229125893,following,u47034524
u1299686030875004928,following,u2441666255
u43300047,following,u200846651
u813286,following,u939091
u762024240,following,u466183294
u21862217,following,u248023936
u156393470,following,u114040486
u71294756,following,u970563998
u387900968,following,u18533219
u2924521080,following,u18839785
u11347122,followers,u22827784
u177564016,following,u88784440
u947924373029171200,following,u115628224
u15764644,following,u1081222837459996672
u626131422,following,u753623149929869312
u21862217,following,u25466022
u63614947,following,u23852881
u71294756,following,u471672239
u39416218,following,u28162211
u245424983,following,u16072058
u4041824789,following,u18584875
u71294756,following,u22843167
u42606652,following,u51241574
u63614947,following,u27386099
u25203361,following,u1323730225067339784
u1243560408025198593,following,u3044993235
u14511951,following,u97082147
u30364057,following,u468646961
u158414847,following,u28785486
u19539716,following,u442593662
u970716252179136514,following,u92186819
u1044241,following,u229986441
u30378270,following,u42970367
u21201150,following,u106204123
u177564016,following,u15455253
u626131422,following,u14811485
u387900968,following,u31059230
u161801527,following,u820378690920058880
u521747968,following,u95506425
u521747968,following,u506429053
u110326494,following,u205864193
u100588178,following,u216065430
u134758540,following,u2982269822
u43300047,following,u742143
u722528529716383744,following,u457984599
u626131422,following,u13524182
u133663801,following,u38142665
u20479813,following,u16879936
u17264476,following,u3827830753
u931681289614385158,following,u2835451658
u17004618,following,u286476728
u1630896181,following,u222185665
u56413858,following,u138182116
u130496027,following,u17169320
u3948308435,following,u8197942
u2545759886,following,u22573600
u42606652,following,u742143
u30364057,following,u119972954
u100588178,following,u42389136
u1243560408025198593,following,u78445977
u11347122,following,u258666578
u813286,following,u1111940934
u102594136,following,u16162149
u521747968,following,u32908110
u818282957618216960,following,u1219579814
u17004618,following,u47433923
u820354372827758592,following,u570290656
u4765364386,following,u44385628
u21114659,following,u329819402
u161801527,following,u1330457336
u177564016,following,u1299007622968901637
u158414847,following,u91180720
u15458694,following,u93069110
u26792275,following,u469509327
u43300047,following,u29986482
u16012783,following,u16312576
u21114659,following,u262223982
u357606935,following,u13850422
u43300047,following,u151967576
u3948308435,following,u27000730
u26703365,following,u14511951
u228474571,following,u18772897
u2591320394,following,u237770636
u156393470,followers,u14443412
u38647512,following,u5392522
u161801527,following,u382685028
u130496027,following,u15147397
u29458079,following,u15751083
u20562637,following,u3226282347
u42606652,following,u91478624
u110326494,following,u18634831
u7426632,followers,u1473587414
u592730371,following,u18822612
u11347122,following,u17839398
u39416218,following,u9300262
u158414847,following,u30364057
u205392468,following,u115105973
u15976697,following,u947984296224096257
u15976697,following,u1270531866634878977
u592730371,following,u358545917
u592730371,following,u25202268
u14772775,following,u1051127714
u4041824789,following,u816652616625168388
u16012783,following,u17469289
u34868965,following,u14294848
u11347122,following,u16056306
u110326494,following,u275104144
u15458694,following,u250492272
u1243560408025198593,following,u15446551
u30378270,following,u233001368
u130496027,following,u2347049341
u2427885031,following,u380648579
u357606935,following,u286476728
u1044241,following,u355989081
u19682187,following,u1713118033
u15210670,following,u8192222
u15675138,following,u815733290955112448
u783792992,following,u132496568
u21114659,following,u69773058
u208155240,following,u216299334
u18831926,following,u54208274
u39511166,following,u17220934
u784890784273215488,following,u155736983
u21862217,following,u62103
u208155240,following,u151930383
u229125893,following,u22429979
u16076032,following,u7900962
u2922928743,following,u820705814906339328
u228474571,followers,u854627332333744128
u1967275506,followers,u17754573
u16012783,following,u820585
u818282957618216960,following,u480811325
u970716252179136514,following,u990317363915579392
u14772775,following,u701725963
u208155240,following,u6107422
u710425811925471232,following,u248801998
u21862217,following,u65375759
u15675138,following,u26607712
u134758540,following,u2884771
u21114659,following,u21862217
u108977933,following,u155784594
u21114659,following,u33919343
u16012783,following,u590120366
u30354991,following,u17494010
u26703365,following,u35773039
u19778050,following,u9721292
u26703365,following,u2366113867
u43963249,following,u49698134
u970716252179136514,following,u467823431
u30378270,following,u15384720
u250188760,following,u32774989
u208155240,following,u21111896
u4041824789,following,u229141520
u970716252179136514,following,u15567770
u730520573701443584,following,u267861878
u17004618,following,u887924208
u820354372827758592,following,u17839398
u1630896181,following,u813286
u110326494,following,u27792033
u229125893,following,u334033297
u15458694,following,u20776147
u3948308435,following,u80617430
u14642495,following,u19406199
u158414847,following,u14377605
u228474571,following,u192970470
u55334133,following,u809887021
u15458694,following,u48847011
u28657802,following,u548384458
u26703365,following,u1330457336
u65375759,following,u820585
u183749519,following,u3471901
u931681289614385158,following,u976995099170062338
u63614947,following,u15766082
u22429979,following,u15874918
u158414847,following,u100136358
u939091,following,u813286
u14511951,following,u11744152
u2591320394,following,u24913074
u29458079,following,u208155240
u931681289614385158,following,u116579971
u18686907,following,u69773058
u26703365,following,u198688169
u16076032,following,u558040899
u55334133,following,u731132367058968576
u14772775,following,u352548417
u357606935,following,u45573874
u161801527,following,u6708952
u1055907624,following,u454099919
u71294756,following,u247334603
u30378270,following,u1483064670
u18831926,following,u67647597
u102594136,following,u20280088
u14511951,following,u23908154
u17264476,following,u14515799
u1243560408025198593,following,u50735431
u55334133,following,u15952856
u17866318,followers,u1158306108
u823083,following,u914061
u970716252179136514,following,u798973032362606600
u2924521080,following,u923325871200620544
u28785486,following,u26053643
u17866318,following,u38428725
u158414847,following,u2987671552
u130496027,following,u246939630
u722528529716383744,following,u24295482
u15458694,following,u286998245
u970716252179136514,following,u19186003
u880412538625810432,following,u20402945
u150151712,following,u242426145
u43963249,following,u123327472
u19778050,following,u12046642
u14293310,following,u20402945
u130496027,following,u74820061
u710425811925471232,following,u73672445
u722528529716383744,following,u32913997
u43300047,following,u25203361
u18686907,following,u226222147
u132346487,following,u823245705439547394
u216881337,following,u86129724
u55334133,following,u47285504
u369788077,following,u1221242033530195970
u14511951,following,u44215023
u784890784273215488,following,u1880725393
u28785486,following,u813286
u28785486,following,u759251
u592730371,following,u16523905
u16076032,following,u3099901028
u4303298356,following,u4696552878
u26792275,following,u788524
u17264476,following,u35472060
u4765364386,following,u16246911
u15976697,following,u4765364386
u92614042,following,u138203134
u19682187,following,u269314519
u11347122,following,u310374952
u784890784273215488,following,u35773039
u14834340,following,u89887215
u100588178,following,u5695632
u16012783,following,u14096763
u16012783,following,u13657922
u158414847,following,u21696279
u18686907,following,u22187085
u2591320394,following,u19161570
u970716252179136514,following,u2352629311
u1081222837459996672,following,u148529707
u228474571,following,u23578274
u931681289614385158,following,u229141520
u29458079,following,u19737700
u110326494,followers,u1028355791143804929
u14834340,followers,u1201348645225930752
u15675138,following,u16817966
u22429979,following,u14335586
u39416218,following,u23176276
u17866318,following,u283722901
u820354372827758592,following,u19186003
u1243560408025198593,following,u809887021
u18686907,following,u19310250
u130496027,following,u308658903
u722528529716383744,following,u1031747223569227776
u14293310,following,u19729115
u21114659,following,u1330457336
u755835576,following,u15679311
u110326494,following,u42326387
u134758540,following,u21982720
u228474571,following,u353890966
u14293310,following,u14246001
u961231092,following,u831279407088148480
u759251,following,u16625082
u755835576,following,u1244960680001835010
u4763858353,following,u426313432
u357606935,following,u2434051392
u16012783,following,u327862439
u4041824789,following,u359403242
u19778050,following,u1045110018
u216881337,following,u51241574
u592730371,following,u18994549
u21114659,following,u17824099
u15675138,following,u2862577383
u970716252179136514,following,u15007149
u626131422,following,u30364057
u96149284,following,u16116288
u21862217,following,u19785310
u947924373029171200,following,u970207298
u878247600096509952,following,u442456291
u70435999,following,u355591226
u228474571,following,u64483444
u1081222837459996672,following,u14529929
u15976697,following,u791249544801554432
u626131422,followers,u805372752
u161801527,following,u8363752
u16012783,following,u19418459
u73238146,following,u85131054
u71294756,following,u1248996730940448774
u34868965,following,u334921581
u55334133,following,u96675300
u818282957618216960,following,u13262862
u1081222837459996672,following,u31128529
u245424983,following,u1138076821533155328
u17866318,following,u15464697
u626131422,followers,u14276218
u820354372827758592,following,u12609292
u521747968,following,u67792812
u63614947,following,u631810714
u18686907,following,u380268462
u16012783,following,u274294204
u55334133,following,u2835962353
u100588178,following,u17525171
u228474571,following,u17827531
u130496027,following,u605934790
u34713362,following,u17134268
u17866318,followers,u3075845932
u30354991,following,u1333168873860984832
u228474571,following,u32986235
u592730371,following,u39349894
u21862217,following,u53789862
u357606935,following,u76837768
u216881337,following,u38495835
u2922928743,following,u27558166
u521747968,following,u426802833
u1044241,following,u1257881122370969602
u34713362,following,u17220934
u23970102,following,u112047805
u18949452,following,u18526653
u71294756,following,u329819402
u4041824789,following,u1344356576786866176
u521747968,following,u15859912
u158414847,following,u3018670151
u158414847,following,u14437914
u48511236,following,u7768402
u762024240,following,u21722318
u158414847,following,u834081571493785600
u521747968,following,u998573295044874241
u1243560408025198593,following,u1087380412089987077
u2427885031,following,u31565351
u626131422,following,u16513335
u592730371,following,u1890308449
u43300047,following,u731132367058968576
u20479813,following,u2961639518
u14834340,following,u950531
u21114659,following,u17995040
u14834340,following,u63004503
u20562637,following,u17469289
u216881337,following,u56562803
u43963249,following,u74508260
u29458079,following,u26053643
u15458694,following,u45645232
u130496027,following,u216065430
u1055907624,following,u14185317
u11178672,following,u18831926
u2884771,following,u16343974
u70435999,following,u153517357
u32774989,following,u49110693
u16076032,following,u15195539
u818282957618216960,following,u20616741
u156393470,following,u7019512
u71294756,following,u23593446
u245424983,following,u15464697
u30354991,following,u2884771
u17866318,following,u1078749802765139968
u28657802,following,u367489108
u11347122,following,u225970038
u4765364386,following,u14602051
u17004618,following,u1480278008
u931681289614385158,following,u2407993940
u26703365,following,u19031057
u784890784273215488,following,u7651862
u130496027,following,u808108063
u931681289614385158,following,u56562803
u43963249,following,u80612021
u71294756,following,u1711586252
u881615056437297152,following,u473914976
u15458694,following,u14304462
u21862217,following,u807176238
u43963249,following,u742143
u43963249,following,u205864193
u17866318,following,u366497984
u15764644,following,u1343578440977494018
u2884771,following,u15764644
u3108351,following,u624413
u961231092,following,u18018355
u592730371,following,u15212187
u15976697,following,u4914384040
u43300047,following,u617266600
u947924373029171200,following,u52544275
u133880286,following,u16012783
u228474571,following,u19119809
u25203361,following,u731167584
u14772775,following,u269911034
u71294756,following,u18831926
u18686907,following,u15305044
u783792992,following,u2725669979
u1055907624,following,u19608297
u626131422,following,u17301707
u17004618,following,u29540950
u245424983,following,u23394667
u43300047,following,u16253142
u14697575,following,u2389227352
u21114659,following,u118756393
u245424983,following,u26260537
u759251,following,u407396556
u2591320394,following,u808108063
u16076032,following,u16129920
u14834340,following,u20343694
u2922928743,following,u1298372735383605249
u1299686030875004928,following,u1707427058
u28657802,following,u45671898
u626131422,following,u27715051
u30364057,following,u27782837
u783792992,following,u3298708805
u975200486,followers,u1962626484
u14647570,following,u15684633
u1394399438,following,u20707966
u818282957618216960,following,u26754354
u1630896181,following,u263473924
u150151712,following,u211277534
u29458079,following,u32004130
u4765364386,following,u1022693675250249729
u820354372827758592,following,u267861878
u25203361,following,u16873455
u229125893,following,u1704646470
u15862891,following,u14260960
u245424983,following,u205392468
u216881337,following,u23970102
u784890784273215488,following,u16635277
u4765364386,following,u26078152
u807095,following,u39030654
u56413858,following,u58120509
u108977933,following,u18622869
u15458694,following,u44039298
u820354372827758592,following,u13404292
u16076032,following,u24745957
u15764644,following,u15808765
u16076032,following,u2303751216
u387900968,following,u1522696928
u26792275,following,u4119741
u108977933,following,u32871086
u19778050,following,u12952842
u96149284,following,u119972954
u459767319,following,u1138886434478182401
u1243560408025198593,following,u40996128
u3948308435,following,u45715838
u130496027,following,u44688778
u228474571,followers,u2643570679
u783792992,following,u1080191866509901826
u1243560408025198593,following,u2977083957
u22429979,following,u701081673681637376
u29458079,following,u15416505
u2884771,following,u939091
u16076032,following,u68752979
u14834340,following,u78400205
u783792992,following,u42176166
u130496027,followers,u816869611480186880
u158414847,following,u16129920
u15976697,following,u41702018
u20402945,following,u16017475
u38647512,following,u5402612
u16076032,following,u807095
u7426632,followers,u89220865
u15764644,following,u15446551
u4303298356,following,u538021652
u1299686030875004928,following,u16700555
u521747968,following,u1720701343
u14642495,following,u2729061
u880412538625810432,following,u742143
u18686907,following,u3129968261
u19539716,following,u290180065
u30354991,following,u150078976
u63614947,following,u41814169
u71294756,following,u471677441
u30354991,following,u158848407
u26703365,following,u16027904
u592730371,following,u247368688
u823083,following,u31455711
u11347122,following,u16463030
u30378270,following,u96149284
u250188760,following,u249787913
u110326494,following,u761167885720956929
u21201150,following,u14569869
u357606935,following,u1947301
u130496027,following,u15554922
u130496027,following,u88749392
u970716252179136514,following,u18646108
u14834340,following,u19086456
u71294756,following,u19334118
u30378270,following,u426802833
u158414847,following,u13493302
u626131422,following,u887924208
u783792992,following,u16582131
u39416218,following,u129879105
u880412538625810432,following,u822215673812119553
u102594136,following,u108562201
u21114659,following,u33852508
u39416218,following,u305189255
u2427885031,following,u69004966
u2922928743,following,u41023170
u1630896181,following,u967027984426242053
u886749256807100416,following,u148529707
u30354991,following,u22162854
u245424983,following,u15987296
u14772775,following,u156306739
u130496027,following,u820585
u931681289614385158,following,u962650783182331904
u158414847,following,u9695312
u3948308435,following,u366497984
u873534859259650048,following,u133028836
u14772775,following,u2300278368
u970716252179136514,following,u259001548
u2434191967,following,u16172991
u820354372827758592,following,u84653850
u4041824789,following,u1367531
u387900968,following,u13404292
u21862217,following,u23348842
u16012783,following,u1323730225067339784
u71294756,following,u19119809
u250188760,following,u202206694
u2922928743,following,u19682187
u722528529716383744,following,u55192727
u2427885031,followers,u164060400
u2591320394,following,u14984637
u15764644,following,u19318314
u228474571,following,u234014087
u15675138,following,u309822757
u16076032,following,u16799023
u130496027,following,u21059255
u43963249,following,u2968007206
u29458079,following,u19877186
u617602505,following,u32002507
u19682187,following,u25728193
u807095,following,u178065733
u626131422,following,u340418291
u65375759,following,u17143007
u43300047,following,u12096202
u820354372827758592,following,u39030654
u250188760,following,u21316253
u18949452,following,u67358777
u961231092,following,u2209778173
u63614947,following,u193441812
u130496027,following,u42995067
u73238146,following,u296361085
u387900968,following,u548384458
u18686907,following,u196168350
u17004618,following,u388513351
u16012783,following,u31127446
u21114659,following,u44039298
u43963249,following,u29442313
u15764644,following,u31801993
u28785486,following,u14897840
u42606652,following,u165085226
u48511236,following,u3060489838
u216881337,following,u46557945
u71294756,following,u942156122
u18949452,following,u818927131883356161
u30364057,following,u1055730738
u15458694,following,u29442313
u14772775,following,u820378690920058880
u961231092,following,u307577710
u130496027,following,u2835886194
u26703365,following,u29501253
u880412538625810432,following,u1707427058
u21114659,following,u17175213
u2922928743,following,u1250863636551270400
u228474571,following,u17348525
u17264476,following,u30378270
u245424983,following,u2863996955
u21862217,following,u20813112
u21862217,following,u1332630685
u96149284,followers,u8318902
u30378270,following,u17470695
u22429979,following,u953924228306305024
u30378270,following,u1323730225067339784
u38647512,following,u742143
u3948308435,following,u4898091
u43300047,following,u16378486
u2591320394,following,u39416218
u14772775,following,u65494780
u783792992,following,u234374703
u144090338,following,u881615056437297152
u626131422,following,u39000115
u873534859259650048,following,u46390071
u2884771,following,u2836421
u19539716,following,u14260960
u20562637,following,u88223320
u177564016,following,u523248016
u100588178,following,u9695312
u783792992,following,u586749256
u2591320394,following,u1903105045
u28657802,following,u1333154383278731265
u784890784273215488,following,u22586620
u373157754,following,u26548315
u1243560408025198593,following,u180107694
u14834340,followers,u14588121
u784890784273215488,following,u1221242033530195970
u2591320394,following,u38026753
u39511166,following,u17471979
u2884771,following,u759251
u26792275,following,u176905010
u2884771,following,u25300308
u1630896181,following,u19333719
u784890784273215488,following,u18686907
u16012783,following,u156306739
